"BUSLIC_ID","BUSLIC_TRADE_NAME","BUSLIC_PHONE_NUM","NAICS DESC","ADDRESS","BUSLIC_OPENDATE","BUSLIC_BUSINESS_ID","WKT"
728551,"MISS CAFE",2064857044,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1523 1ST AVE, SEATTLE, WA 98101","02/01/2018",822236,"POINT (-122.341069 47.60947)"
741687,"REALFINE COFFEE",2068528434,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","616 E PINE ST, SEATTLE, WA 98122-2324","06/21/2018",734518,"POINT (-122.323799 47.615453)"
795303,"STITCH CAFE",4046615756,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1408 E PINE ST # CU3, SEATTLE, WA 98122-4032","04/01/2024",875175,"POINT (-122.313873 47.615592)"
764013,"STARBUCKS COFFEE #61932",2063188705,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4800 SAND POINT WAY NE, SEATTLE, WA 98105","10/09/2020",105444,"POINT (-122.281458 47.662313)"
709720,"CALLUS LLC",2062286868,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","323 1ST AVE S, SEATTLE, WA 98104-2505","05/01/2017",807806,"POINT (-122.334591 47.599423)"
685673,"DAILY COFFEE & TEA CO",2068520642,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","5400 E MARGINAL WAY S, SEATTLE, WA 98134-2441","01/02/2016",773299,"POINT (-122.336916 47.553999)"
767870,"STARBUCKS COFFEE 24837",2063188705,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4233 SW ALASKA ST, SEATTLE, WA 98116-4524","04/26/2021",105444,"POINT (-122.386461 47.560832)"
735557,"PEGASUS COFFEE",2535844668,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1218 3RD AVE # 103, SEATTLE, WA 98101-3028","09/01/2018",827391,"POINT (-122.335439 47.607687)"
794597,"GREEN LAKE BEN & JERRYS",2067197781,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","7900 E GREEN LAKE DR N # 104, SEATTLE, WA 98103-4813","03/06/2024",874685,"POINT (-122.337086 47.685825)"
792924,"THE USUAL",2063317850,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1414 E YESLER WAY, SEATTLE, WA 98122-5953","05/01/2023",873290,"POINT (-122.313419 47.601842)"
610414,"FULL TILT BALLARD",2069635038,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","5453 LEARY AVE NW, SEATTLE, WA 98107-4011","10/01/2011",740555,"POINT (-122.383985 47.667829)"
764846,"THE BIRDHOUSE",2067907126,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","3509 SW HENDERSON ST, SEATTLE, WA 98126-3852","03/01/2020",850867,"POINT (-122.377184 47.522772)"
712724,"ZYLBERSCHTEIN'S DELICATESSEN & BAKERY",4153851379,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","11752 15TH AVE NE, SEATTLE, WA 98125-5026","01/01/2017",809998,"POINT (-122.312141 47.715358)"
763782,"PHIN",2063537645,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","913 S JACKSON ST # D, SEATTLE, WA 98104-5165","10/01/2020",849949,"POINT (-122.320377 47.598888)"
769717,"HAPPY LEMON",4256774162,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2630 NE VILLAGE LN, SEATTLE, WA 98105-5031","06/21/2021",855172,"POINT (-122.298975 47.662465)"
788779,"MIGHTY MUGS LLC",2067796941,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4351 8TH AVE NW, SEATTLE, WA 98107","11/01/2021",869942,"POINT (-122.366584 47.660169)"
750473,"HONORE PATISSERIE & ESPRESSO",2064341744,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","8056 LAKE CITY WAY NE, SEATTLE, WA 98115-4360","09/15/2019",838684,"POINT (-122.311873 47.687393)"
762905,"STARBUCKS COFFEE#60580",2063188705,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","425 PIKE ST, SEATTLE, WA 98101","08/20/2020",105444,"POINT (-122.335697 47.610331)"
706480,"STREET BEAN COFFEE ROASTERS",2067086803,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2711 3RD AVE, SEATTLE, WA 98121-1217","11/01/2009",805374,"POINT (-122.349532 47.61717)"
